mesh_node_index	parent_node_index	semantic_parent_name	mesh_node_name	assembly	triangles	material_indices	named_effect	min_x	min_y	min_z	max_x	max_y	max_z
0	1	Cilindro.001_141	Object_282	detailed	316	0	False	1.248994687	-2.925471415	0.705862608	2.027708318	-1.082042688	1.484576669
2	3	Cilindro.002_142	Object_284	detailed	128	1	False	1.248994641	-2.925471415	0.705862608	2.027708365	-1.082042688	1.484576669
4	5	Cilindro.003_143	Object_286	detailed	128	2	False	1.179272488	-2.079486568	0.636140501	2.097430518	-1.935286914	1.554298819
6	7	Cilindro.004_93	Object_190.003	detailed	320	3	False	-1.369555779	-2.495632766	1.328722259	-1.050613088	-1.579093193	1.647665100
8	9	Cilindro.005_144	Object_288	detailed	64	4	False	1.179272488	-2.078082339	0.636140501	2.097430518	-1.936691497	1.554298819
10	11	Cilindro.006_124	Object_248.001	detailed	320	3	False	-2.226096146	-2.495632766	1.328722259	-1.907153456	-1.579093193	1.647665100
12	13	Cilindro.007_145	Object_290.001	detailed	366	1	False	1.345134395	-2.895328668	1.523375699	1.931568610	-0.843446628	1.708246888
14	15	Cilindro.008_146	Object_292	detailed	18	5	False	1.394550369	-2.602564561	1.667165637	1.845687292	-1.420439345	1.708246888
16	17	Cilindro.009_101	Object_206.003	detailed	448	6	False	-0.023512669	1.585239091	1.325827453	0.023512660	1.872994268	1.532773968
18	19	Cilindro.010_102	Object_208.003	detailed	818	7	False	-0.194532647	1.417952871	0.635639744	0.194532647	2.221986245	1.045941880
20	21	Cilindro.011_103	Object_210.003	detailed	64	6	False	0.162666529	1.499004290	0.661698795	0.256178273	1.686575044	0.789607961
22	23	Cilindro.012_139	Object_278	detailed	64	6	False	-0.254059315	1.499004308	0.661698856	-0.160547596	1.686575046	0.789608002
24	25	Cilindro.013_105	Object_212.003	detailed	128	1	False	-2.027708365	-2.925471415	0.705862608	-1.248994641	-1.082042688	1.484576669
26	27	Cilindro.014_126	Object_252	detailed	320	3	False	-2.680274394	-2.537109465	0.779420694	-2.048676631	-1.471470590	1.411018687
28	29	Cilindro.015_106	Object_214.003	detailed	320	3	False	-1.228026375	-2.537109465	0.779420694	-0.596428612	-1.471470590	1.411018687
30	31	Cilindro.016_107	Object_216.003	detailed	366	1	False	-1.931568610	-2.895328668	1.523375699	-1.345134395	-0.843446628	1.708246888
32	33	Cilindro.017_147	Object_294	detailed	60	4	False	1.496086062	-2.895328668	1.570962823	1.780617034	-0.843446628	1.660660069
34	35	Cilindro.018_148	Object_296	detailed	320	3	False	0.596428612	-2.537109465	0.779420694	1.228026375	-1.471470590	1.411018687
36	37	Cilindro.019_108	Object_218.003	detailed	320	8	False	-1.456427186	-2.609749900	0.502990470	-1.137484496	-1.579093333	0.821933329
38	39	Cilindro.020_109	Object_220.003	detailed	512	9	False	-1.797875488	-2.502903574	0.338609482	-1.478827556	-0.821912255	0.657657566
40	41	Cilindro.021_129	Object_258	detailed	350	2	False	-2.139218395	-2.623713812	0.502990441	-1.820275743	-1.401030849	0.821933188
42	43	Cilindro.044_111	Object_222.003	detailed	556	10	False	-1.228026375	-2.676532167	0.779420694	-0.596428612	-2.477398175	1.411018635
44	45	Cilindro.045_112	Object_224.006	detailed	286	11	False	-1.226105837	-1.471470674	0.781341319	-0.598349131	-1.288980807	1.409098221
46	47	Cilindro.046_113	Object_226.006	detailed	316	0	False	-2.027708318	-2.925471415	0.705862608	-1.248994687	-1.082042688	1.484576669
48	49	Cilindro.047_114	Object_228.006	detailed	64	4	False	-2.097430518	-2.078082339	0.636140501	-1.179272488	-1.936691497	1.554298819
50	51	Cilindro.048_116	Object_232.006	detailed	18	5	False	-1.882152637	-2.602564561	1.667165637	-1.431015713	-1.420439345	1.708246888
52	53	Cilindro.049_117	Object_234.006	detailed	382	2	False	-2.226096146	-2.509596677	1.328722259	-1.907153456	-1.401030710	1.647665063
54	55	Cilindro.050_118	Object_236.006	detailed	350	2	False	-1.456427167	-2.623713812	0.502990441	-1.137484515	-1.401030849	0.821933188
56	57	Cilindro.051_119	Object_238.006	detailed	160	10	False	-2.072986522	-2.745413527	0.569222321	-1.886507616	-2.623713787	0.755701341
58	59	Cilindro.052_120	Object_240.006	detailed	256	12	False	-1.797822848	-3.163201301	0.338661967	-1.478880139	-2.502903462	0.657604848
60	61	Cilindro.053_121	Object_242	detailed	96	2	False	-1.754815776	-3.187151114	0.381669082	-1.521887230	-3.163201270	0.614597710
62	63	Cilindro.054_122	Object_244	detailed	158	2	False	-1.772435245	-1.268043277	0.364049654	-1.504267779	-0.821912259	0.632217292
64	65	Cilindro.055_123	Object_246	detailed	382	2	False	-1.369555779	-2.509596677	1.328722259	-1.050613088	-1.401030710	1.647665063
66	67	Cilindro.056_125	Object_250	detailed	556	10	False	-2.680274394	-2.676532167	0.779420694	-2.048676631	-2.477398175	1.411018635
68	69	Cilindro.057_127	Object_254	detailed	286	11	False	-2.678353856	-1.471470674	0.781341319	-2.050597150	-1.288980807	1.409098221
70	71	Cilindro.058_128	Object_256	detailed	160	10	False	-1.390195294	-2.745413527	0.569222321	-1.203716388	-2.623713787	0.755701341
72	73	Cilindro.059_130	Object_260	detailed	320	8	False	-2.139218414	-2.609749900	0.502990470	-1.820275724	-1.579093333	0.821933329
74	75	Cilindro.060_133	Object_266	detailed	60	4	False	-1.780616943	-2.895328668	1.570962823	-1.496085972	-0.843446628	1.660660069
76	77	Cilindro.061_134	Object_268	detailed	128	2	False	-2.097430518	-2.079486568	0.636140501	-1.179272488	-1.935286914	1.554298819
78	79	Cilindro.062_136	Object_272	detailed	828	13	False	-0.020057211	1.585239091	1.325827453	0.020057203	1.872994268	1.532773968
80	81	Cilindro.063_140	Object_280	detailed	252	13	False	-0.254505051	1.439579586	0.644724184	-0.160547596	1.690236257	0.789608002
82	83	Cilindro.064_137	Object_274	detailed	252	13	False	0.162666529	1.439579567	0.644724121	0.256624028	1.690236244	0.789607961
84	85	Cilindro.065_149	Object_298	detailed	556	10	False	0.596428612	-2.676532167	0.779420694	1.228026375	-2.477398175	1.411018635
86	87	Cilindro.066_150	Object_300	detailed	286	11	False	0.598349150	-1.471470674	0.781341319	1.226105856	-1.288980807	1.409098221
88	89	Cilindro.067_151	Object_302	detailed	160	10	False	1.203716388	-2.745413527	0.569222321	1.390195294	-2.623713787	0.755701341
90	91	Cilindro.068_152	Object_304.001	detailed	160	10	False	1.886507616	-2.745413527	0.569222321	2.072986522	-2.623713787	0.755701341
92	93	Cilindro.069_153	Object_306	detailed	320	8	False	1.137484496	-2.609749900	0.502990470	1.456427186	-1.579093333	0.821933329
94	95	Cilindro.070_154	Object_308	detailed	350	2	False	1.137484515	-2.623713812	0.502990441	1.456427167	-1.401030849	0.821933188
96	97	Cilindro.071_155	Object_310.001	detailed	320	8	False	1.820275724	-2.609749900	0.502990470	2.139218414	-1.579093333	0.821933329
98	99	Cilindro.072_156	Object_312	detailed	350	2	False	1.820275743	-2.623713812	0.502990441	2.139218395	-1.401030849	0.821933188
100	101	Cilindro.073_157	Object_314	detailed	286	11	False	2.050597168	-1.471470674	0.781341319	2.678353875	-1.288980807	1.409098221
102	103	Cilindro.074_158	Object_316	detailed	556	10	False	2.048676631	-2.676532167	0.779420694	2.680274394	-2.477398175	1.411018635
104	105	Cilindro.075_159	Object_318	detailed	320	3	False	2.048676631	-2.537109465	0.779420694	2.680274394	-1.471470590	1.411018687
106	107	Cilindro.076_160	Object_320	detailed	320	3	False	1.050613088	-2.495632766	1.328722259	1.369555779	-1.579093193	1.647665100
108	109	Cilindro.077_161	Object_322	detailed	382	2	False	1.050613088	-2.509596677	1.328722259	1.369555779	-1.401030710	1.647665063
110	111	Cilindro.078_162	Object_324	detailed	382	2	False	1.907153456	-2.509596677	1.328722259	2.226096146	-1.401030710	1.647665063
112	113	Cilindro.079_163	Object_326	detailed	320	3	False	1.907153456	-2.495632766	1.328722259	2.226096146	-1.579093193	1.647665100
114	115	Cilindro.080_164	Object_328	detailed	96	2	False	1.521887230	-3.187151114	0.381669082	1.754815776	-3.163201270	0.614597710
116	117	Cilindro.081_165	Object_330	detailed	256	12	False	1.478880158	-3.163201301	0.338661967	1.797822867	-2.502903462	0.657604848
118	119	Cilindro.082_166	Object_332	detailed	512	9	False	1.478827518	-2.502903574	0.338609482	1.797875450	-0.821912255	0.657657566
120	121	Cilindro.083_167	Object_334.001	detailed	158	2	False	1.504267760	-1.268043277	0.364049654	1.772435226	-0.821912259	0.632217292
122	123	Cubo.001_96	Object_196.003	detailed	6	14	False	-0.008971532	1.579713342	0.798971870	0.008971532	2.226449999	1.069969080
124	125	Cubo.002_97	Object_198.003	detailed	14	14	False	-0.276552456	1.811430289	1.070186184	0.276343398	2.229471103	1.075664636
126	127	Cubo.003_98	Object_200.003	detailed	7	15	False	-0.002843686	2.238997248	1.078162658	0.002634703	2.432897694	1.357523342
128	129	Cubo.004_99	Object_202.003	detailed	12	16	False	-0.276552456	2.239774950	1.070186182	0.276343400	2.432224815	1.085458215
130	131	Cubo.005_100	Object_204.003	detailed	8	1	False	-0.006595975	1.696317974	1.358581235	0.006595976	1.830471345	1.442101882
132	133	Cubo.012_115	Object_230.006	detailed	7	16	False	-0.002843679	2.238997191	0.798802004	0.002634709	2.432897638	1.082002328
134	135	Cubo.013_131	Object_262.001	detailed	6	6	False	-0.008971519	1.710472776	1.075708343	0.008971519	2.226450048	1.359444749
136	137	Cubo.014_132	Object_264	detailed	6	6	False	-0.008971532	1.579713342	0.798971870	0.008971532	2.226449999	1.069969080
138	139	Cubo.015_135	Object_270	detailed	4	6	False	-0.006595975	1.696317974	1.358581235	0.006595976	1.830471345	1.442101882
140	141	Cubo_95	Object_194.003	detailed	6	17	False	-0.008971519	1.710472776	1.075708343	0.008971519	2.226450048	1.359444749
142	143	Curva Bezier.002_180	Object_360	detailed	576	18	False	-1.651440105	-0.887507658	0.488810870	1.651440105	1.457269339	1.628819606
144	145	Curva Bezier.003_181	Object_362	detailed	576	18	False	-1.266235095	-1.977256973	0.453240354	1.266235095	1.457269340	0.933802061
146	147	Energy_binder_1.001_170	Object_340	detailed	2	19	True	-0.648184655	-1.767321861	1.042611055	0.648184665	-1.767321703	1.124454306
150	151	Energy_binder_2.001_171	Object_342	detailed	2	20	True	-0.648184502	-1.787782844	1.042611145	0.648184513	-1.746861330	1.124454217
154	155	Energy_binder_3.001_172	Object_344	detailed	2	21	True	-0.648184761	-1.767321875	0.960766885	0.648184772	-1.767321689	1.206298476
156	157	Energy_binder_3.002_173	Object_346	detailed	2	21	True	-0.648184670	-1.767322123	0.960766971	0.648184680	-1.767322051	1.206298390
160	161	Esfera_94	Object_192.003	detailed	960	22	False	-0.198800631	1.605953412	0.932872306	0.198800761	2.003554751	1.330474013
234	235	L_engine_flame_1.002_169	Object_338	detailed	4	24	True	-1.184044010	-1.286743440	0.833220598	1.183784630	-1.286742991	1.374034741
236	237	L_engine_flame_1.003_175	Object_350	detailed	4	24	True	-1.183466868	-1.286743440	0.833220598	1.183784678	-1.286742991	1.374034741
238	239	L_engine_flame_1.004_177	Object_354	detailed	4	24	True	-2.638076115	-1.286743878	0.833220479	2.637816735	-1.286742990	1.374034621
240	241	L_engine_flame_1.005_179	Object_358	detailed	4	24	True	-2.637498877	-1.286743878	0.833220479	2.637816687	-1.286742990	1.374034621
244	245	L_engine_flame_2.001_168	Object_336	detailed	144	25	True	-0.990594647	-1.311057695	1.017398213	0.990657161	-0.587352866	1.174851592
246	247	L_engine_flame_2.002_174	Object_348	detailed	144	25	True	-0.988799637	-1.302767974	1.019201781	0.988862148	-0.595642635	1.173048032
248	249	L_engine_flame_2.003_176	Object_352.001	detailed	144	25	True	-2.444626656	-1.311058130	1.017398081	2.444689170	-0.587352838	1.174851460
250	251	L_engine_flame_2.004_178	Object_356	detailed	144	25	True	-2.443936865	-1.307872334	1.018091202	2.443999378	-0.590538645	1.174158337
272	273	Pod_9.001_138	Object_276	detailed	10624	30	False	-0.177875940	1.477048955	0.657828055	0.177876050	2.229130078	1.051076996
